full_name,stars,forks,open_issues,created_at,pushed_at,language,license,description
tensorflow/tensorflow,196451,75686,2782,2015-11-07T01:19:20Z,2026-07-22T17:37:45Z,C++,Apache License 2.0,An Open Source Machine Learning Framework for Everyone
AUTOMATIC1111/stable-diffusion-webui,164228,30433,2499,2022-08-22T14:05:26Z,2026-03-02T07:00:53Z,Python,GNU Affero General Public License v3.0,Stable Diffusion web UI
huggingface/transformers,162840,33990,2416,2018-10-29T13:56:00Z,2026-07-22T17:35:43Z,Python,Apache License 2.0,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
pytorch/pytorch,101857,28454,18247,2016-08-13T05:26:41Z,2026-07-22T17:38:59Z,Python,Other,Tensors and Dynamic neural networks in Python with strong GPU acceleration
rasbt/LLMs-from-scratch,99570,15288,4,2023-07-23T18:15:57Z,2026-07-11T20:45:39Z,Jupyter Notebook,Other,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
opencv/opencv,90064,56918,2756,2012-07-19T09:40:17Z,2026-07-21T09:39:11Z,C++,Apache License 2.0,Open Source Computer Vision Library
Developer-Y/cs-video-courses,82654,11399,2,2016-10-21T17:02:11Z,2026-07-07T17:42:10Z,,,List of Computer Science courses with video lectures.
d2l-ai/d2l-zh,79119,12301,130,2017-08-23T04:40:24Z,2024-07-30T09:32:19Z,Python,Apache License 2.0,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。
dair-ai/Prompt-Engineering-Guide,76830,8440,275,2022-12-16T16:04:50Z,2026-03-11T20:09:13Z,MDX,MIT License,"🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents."
labmlai/annotated_deep_learning_paper_implementations,67211,6745,34,2020-08-25T02:29:34Z,2026-01-22T04:26:00Z,Python,MIT License,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
keras-team/keras,64166,19741,209,2015-03-28T00:35:42Z,2026-07-22T01:39:36Z,Python,Apache License 2.0,Deep Learning for humans
