full_name,has_readme,readme_size,has_ci,has_tests
tensorflow/tensorflow,True,9790.0,True,False
AUTOMATIC1111/stable-diffusion-webui,True,12924.0,True,False
huggingface/transformers,True,18105.0,True,True
pytorch/pytorch,True,29693.0,True,False
rasbt/LLMs-from-scratch,True,18790.0,True,False
opencv/opencv,True,1702.0,True,False
Developer-Y/cs-video-courses,True,223065.0,False,False
d2l-ai/d2l-zh,True,4666.0,True,False
dair-ai/Prompt-Engineering-Guide,True,10961.0,True,False
labmlai/annotated_deep_learning_paper_implementations,True,7808.0,False,False
keras-team/keras,True,5354.0,True,False
CorentinJ/Real-Time-Voice-Cloning,True,4545.0,True,True
ultralytics/ultralytics,True,37801.0,True,True
ultralytics/yolov5,True,45861.0,True,True
deepfakes/faceswap,True,12068.0,True,True
microsoft/AI-For-Beginners,True,28827.0,True,False
Avik-Jain/100-Days-Of-ML-Code,True,18245.0,False,False
GokuMohandas/Made-With-ML,True,23563.0,True,True
roboflow/supervision,True,12302.0,True,True
microsoft/qlib,True,43014.0,True,True
coqui-ai/TTS,True,17429.0,True,True
streamlit/streamlit,True,7007.0,True,False
aymericdamien/TensorFlow-Examples,True,22407.0,False,False
ray-project/ray,True,6506.0,True,False
gradio-app/gradio,True,13742.0,True,False
deepspeedai/DeepSpeed,True,32934.0,True,True
rohitg00/ai-engineering-from-scratch,True,90149.0,True,False
hpcaitech/ColossalAI,True,35355.0,True,True
floodsung/Deep-Learning-Papers-Reading-Roadmap,True,35301.0,False,False
naptha/tesseract.js,True,11163.0,True,True
TencentARC/GFPGAN,True,11744.0,True,True
babysor/MockingBird,True,15388.0,False,False
google-ai-edge/mediapipe,True,8814.0,True,False
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,True,16818.0,True,False
BVLC/caffe,True,2469.0,False,False
CMU-Perceptual-Computing-Lab/openpose,True,11570.0,True,False
huggingface/diffusers,True,14714.0,True,True
openai/CLIP,True,7306.0,True,True
explosion/spaCy,True,23759.0,True,False
mli/paper-reading,True,81695.0,False,False
lutzroeder/netron,True,3338.0,True,False
yunjey/pytorch-tutorial,True,2913.0,False,False
eriklindernoren/ML-From-Scratch,True,13780.0,False,False
Lightning-AI/pytorch-lightning,True,28557.0,True,True
AMAI-GmbH/AI-Expert-Roadmap,True,6146.0,True,False
tatsu-lab/stanford_alpaca,True,14463.0,False,False
eugeneyan/applied-ml,True,104720.0,False,False
JaidedAI/EasyOCR,True,9879.0,False,False
academic/awesome-datascience,True,130879.0,True,False
donnemartin/data-science-ipython-notebooks,True,43957.0,False,False
d2l-ai/d2l-en,True,4757.0,True,False
ZuzooVn/machine-learning-for-software-engineers,True,38229.0,False,False
ChristosChristofidis/awesome-deep-learning,True,72339.0,False,False
deezer/spleeter,True,8712.0,True,True
svc-develop-team/so-vits-svc,True,38137.0,True,False
fastai/fastai,True,6503.0,True,False
HumanSignal/label-studio,True,11488.0,True,False
harvard-edge/cs249r_book,True,80963.0,True,False
mozilla/DeepSpeech,True,1590.0,True,True
WZMIAOMIAO/deep-learning-for-image-processing,True,8014.0,False,False
terryum/awesome-deep-learning-papers,True,44838.0,False,False
shap/shap,True,22004.0,True,True
ageron/handson-ml,True,5871.0,False,False
junyanz/pytorch-CycleGAN-and-pix2pix,True,16743.0,False,False
fastai/fastbook,True,5518.0,False,False
microsoft/JARVIS,True,14987.0,False,False
HumanSignal/labelImg,True,11881.0,True,True
SYSTRAN/faster-whisper,True,15246.0,True,True
PaddlePaddle/Paddle,True,5547.0,True,False
pyg-team/pytorch_geometric,True,60641.0,True,False
lukasmasuch/best-of-ml-python,True,449826.0,True,False
Tencent/ncnn,True,26968.0,True,True
serengil/deepface,True,25073.0,True,True
spmallick/learnopencv,True,98782.0,False,False
AccumulateMore/CV,True,8594.0,False,False
amusi/CVPR2026-Papers-with-Code,True,13369.0,False,False
MLEveryday/100-Days-Of-ML-Code,True,17978.0,False,False
jina-ai/serve,True,6643.0,True,True
recommenders-team/recommenders,True,22276.0,True,True
huggingface/datasets,True,14461.0,True,True
zergtant/pytorch-handbook,True,5140.0,False,False
onnx/onnx,True,7838.0,True,False
microsoft/onnxruntime,True,3112.0,True,False
EthicalML/awesome-production-machine-learning,True,156917.0,True,False
stefan-jansen/machine-learning-for-trading,True,26294.0,True,True
afshinea/stanford-cs-229-machine-learning,True,4213.0,False,False
Unity-Technologies/ml-agents,True,9926.0,True,False
ShusenTang/Dive-into-DL-PyTorch,True,10841.0,False,False
iperov/DeepFaceLab,True,6198.0,False,False
tensorflow/tfjs,True,7760.0,True,False
nndl/nndl,True,1587.0,False,False
keon/awesome-nlp,True,106223.0,False,False
mlc-ai/web-llm,True,25807.0,True,True
mrdbourke/pytorch-deep-learning,True,24249.0,True,False
UFund-Me/Qbot,True,42770.0,True,True
ujjwalkarn/Machine-Learning-Tutorials,True,66278.0,False,False
NLP-LOVE/ML-NLP,True,8253.0,False,False
Mikoto10032/DeepLearning,True,90926.0,False,False
microsoft/CNTK,True,25531.0,False,False
liyupi/ai-guide,True,13664.0,True,False
camel-ai/camel,True,34695.0,True,False
tensorflow/tensor2tensor,True,19717.0,False,False
dair-ai/ml-visuals,True,4501.0,False,False
dair-ai/ML-YouTube-Courses,True,29616.0,False,False
google/magika,True,10174.0,True,False
datawhalechina/leedl-tutorial,True,10249.0,False,False
bharathgs/Awesome-pytorch-list,True,109728.0,False,False
lukas-blecher/LaTeX-OCR,True,8895.0,False,False
emilwallner/Screenshot-to-code,True,4617.0,False,False
cvat-ai/cvat,True,14227.0,True,True
instillai/TensorFlow-Course,True,25580.0,False,False
wkentaro/labelme,True,11908.0,True,True
camenduru/stable-diffusion-webui-colab,True,209057.0,False,False
oxford-cs-deepnlp-2017/lectures,True,19680.0,False,False
alibaba/MNN,True,13307.0,True,False
tracel-ai/burn,True,29930.0,True,False
cmusatyalab/openface,True,4628.0,False,True
kailashahirwar/cheatsheets-ai,True,4363.0,False,False
owainlewis/awesome-artificial-intelligence,True,12763.0,True,True
albumentations-team/albumentations,True,40111.0,True,True
Unstructured-IO/unstructured,True,19970.0,True,False
ty4z2008/Qix,True,1854.0,False,False
AliaksandrSiarohin/first-order-model,True,9365.0,False,False
alphacep/vosk-api,True,1107.0,False,False
NVIDIA/DeepLearningExamples,True,29463.0,True,False
aleju/imgaug,True,83811.0,True,False
horovod/horovod,True,16441.0,True,False
BlinkDL/RWKV-LM,True,61133.0,False,False
GeeeekExplorer/nano-vllm,True,2185.0,False,False
davisking/dlib,True,3535.0,True,False
microsoft/nni,True,17395.0,True,False
jindongwang/transferlearning,True,23013.0,False,False
davidsandberg/facenet,True,5784.0,False,False
dmlc/dgl,True,32164.0,True,True
carla-simulator/carla,True,10334.0,True,False
janishar/mit-deep-learning-book-pdf,True,3765.0,False,False
mlfoundations/open_clip,True,45288.0,True,True
wanshuiyin/Auto-claude-code-research-in-sleep,True,200822.0,True,True
microsoft/LoRA,True,14379.0,False,False
Data-Centric-AI-Community/fg-data-profiling,True,19635.0,True,True
apache/tvm,True,3494.0,True,True
Lightning-AI/litgpt,True,31216.0,True,True
NVIDIA/TensorRT,True,19451.0,True,False
tangyudi/Ai-Learn,True,37759.0,False,False
jacobgil/pytorch-grad-cam,True,20457.0,True,True
kmario23/deep-learning-drizzle,True,172711.0,False,False
junyanz/CycleGAN,True,14764.0,False,False
chenyuntc/pytorch-book,True,5623.0,False,False
jina-ai/clip-as-service,True,22328.0,True,True
zalandoresearch/fashion-mnist,True,22711.0,False,False
khangich/machine-learning-interview,True,16550.0,False,False
thuml/Time-Series-Library,True,30580.0,False,False
ritchieng/the-incredible-pytorch,True,66996.0,False,False
sapientinc/HRM,True,7250.0,False,False
alex000kim/nsfw_data_scraper,True,3385.0,False,False
extreme-assistant/CVPR2024-Paper-Code-Interpretation,True,10669.0,False,False
OpenMOSS/MOSS,True,35660.0,False,False
tonybeltramelli/pix2code,True,8014.0,False,False
allenai/allennlp,True,18779.0,True,True
nerfstudio-project/nerfstudio,True,21558.0,True,True
ludwig-ai/ludwig,True,17972.0,True,True
speechbrain/speechbrain,True,23162.0,True,True
tensorzero/tensorzero,True,17963.0,True,False
Jack-Cherish/PythonPark,True,38660.0,False,False
milesial/Pytorch-UNet,True,7466.0,True,False
hoya012/deep_learning_object_detection,True,61553.0,False,False
lucidrains/DALLE2-pytorch,True,44741.0,True,False
kornia/kornia,True,19419.0,True,True
salesforce/LAVIS,True,20118.0,True,True
wandb/wandb,True,6475.0,True,True
apple/turicreate,True,7305.0,False,False
rushter/MLAlgorithms,True,1870.0,True,False
aws/amazon-sagemaker-examples,True,11393.0,False,False
lengstrom/fast-style-transfer,True,7806.0,False,False
fastai/numerical-linear-algebra,True,17083.0,False,False
voxel51/fiftyone,True,19843.0,True,True
huggingface/text-generation-inference,True,14691.0,True,False
